id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elena;Rangel;Lola.Iglesias75@yahoo.com;repurpose withdrawal;2021-07-05T13:32:05;71697;45464
2;Gerardo;Ordóñez;ngela.Echevarra@gmail.com;withdrawal;2021-07-05T17:28:57;75289;21024
3;Teresa;Sauceda;Agustn.Correa@gmail.com;Sorprendente;2021-07-05T02:32:21;71090;65309
4;Cristina;Collazo;Andrs.Estrada@hotmail.com;reinvent orchestrate;2021-07-04T22:01:58;52820;82484
5;Caridad;Echevarría;Mariano14@hotmail.com;mobile Algodón;2021-07-05T16:39:52;13439;33970
6;Alfonso;Bañuelos;Nicols.Pacheco73@gmail.com;Indonesia herramientas;2021-07-05T01:26:04;64329;13556
7;Jorge Luis;Botello;Caridad72@yahoo.com;Descentralizado rich;2021-07-05T03:56:12;54588;45928
8;Homero;Verduzco;Esteban8@yahoo.com;payment Canarias;2021-07-05T17:59:36;3244;21747
9;Florencia;Sedillo;Santiago_Bustamante98@hotmail.com;Negro;2021-07-05T09:20:15;90189;81327
10;Agustín;Rael;Felipe79@gmail.com;Mesa Andalucía Checking;2021-07-04T22:00:25;32637;8639
